prodducts&desc,seller,price,review
Jabra Talk 2 Bluetooth Headset with HD Voice Technology - 100-92330000-02, Black,Apex Essentials USA,$14.99,4.2 out of 5 stars -  907 ratings
Sabbat E12 Professional Bluetooth Headset, HD Bluetooth Earbuds Headphone(Black,not available,not available,3.6 out of 5 stars -  38 ratings
Wireless Headset Magnetic Bluetooth Headset Wireless Sports Headset Stereo bass Music Headset,not available,not available,not available
